borough,neighborhood,id,race,estimate
Queens,Forest Hills                                                   ,QN17,HspE,11025.0
Queens,Rego Park                                                      ,QN18,HspE,5015.0
Queens,Glendale                                                       ,QN19,HspE,11256.0
Queens,Ridgewood                                                      ,QN20,HspE,35589.0
Queens,Middle Village                                                 ,QN21,HspE,5985.0
Queens,Flushing                                                       ,QN22,HspE,10937.0
Queens,College Point                                                  ,QN23,HspE,9292.0
Queens,Corona                                                         ,QN25,HspE,34214.0
Queens,North Corona                                                   ,QN26,HspE,44775.0
Queens,East Elmhurst                                                  ,QN27,HspE,15544.0
Queens,Jackson Heights                                                ,QN28,HspE,58627.0
Queens,Elmhurst                                                       ,QN29,HspE,37502.0
Queens,Maspeth                                                        ,QN30,HspE,7772.0
Queens,Hunters Point-Sunnyside-West Maspeth                           ,QN31,HspE,20575.0
Queens,Cambria Heights                                                ,QN33,HspE,863.0
Queens,Queens Village                                                 ,QN34,HspE,10343.0
Queens,Briarwood-Jamaica Hills                                        ,QN35,HspE,10648.0
Queens,Kew Gardens Hills                                              ,QN37,HspE,5184.0
Queens,Pomonok-Flushing Heights-Hillcrest                             ,QN38,HspE,6387.0
Queens,Fresh Meadows-Utopia                                           ,QN41,HspE,2279.0
Queens,Oakland Gardens                                                ,QN42,HspE,1977.0
Queens,Bellerose                                                      ,QN43,HspE,5212.0
Queens,Glen Oaks-Floral Park-New Hyde Park                            ,QN44,HspE,1784.0
Queens,Douglas Manor-Douglaston-Little Neck                           ,QN45,HspE,2731.0
Queens,Bayside-Bayside Hills                                          ,QN46,HspE,6297.0
Queens,Ft. Totten-Bay Terrace-Clearview                               ,QN47,HspE,2138.0
Queens,Auburndale                                                     ,QN48,HspE,2509.0
Queens,Whitestone                                                     ,QN49,HspE,5008.0
Queens,Elmhurst-Maspeth                                               ,QN50,HspE,7425.0
Queens,Murray Hill                                                    ,QN51,HspE,7898.0
Queens,East Flushing                                                  ,QN52,HspE,4241.0
Queens,Woodhaven                                                      ,QN53,HspE,33286.0
Queens,Richmond Hill                                                  ,QN54,HspE,21993.0
Queens,South Ozone Park                                               ,QN55,HspE,17046.0
Queens,Ozone Park                                                     ,QN56,HspE,8919.0
Queens,Lindenwood-Howard Beach                                        ,QN57,HspE,5495.0
Queens,Kew Gardens                                                    ,QN60,HspE,5920.0
Queens,Jamaica                                                        ,QN61,HspE,20859.0
Queens,Queensboro Hill                                                ,QN62,HspE,3862.0
Queens,Woodside                                                       ,QN63,HspE,15325.0
Queens,Laurelton                                                      ,QN66,HspE,1239.0
Queens,Queensbridge-Ravenswood-Long Island City                       ,QN68,HspE,7847.0
Queens,Astoria                                                        ,QN70,HspE,20390.0
Queens,Old Astoria                                                    ,QN71,HspE,8694.0
Queens,Steinway                                                       ,QN72,HspE,10036.0
Queens,Baisley Park                                                   ,QN76,HspE,4597.0
Queens,Airport                                                        ,QN98,HspE,
Queens,park-cemetery-etc-Queens                                       ,QN99,HspE,
Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville                     ,SI01,HspE,1951.0
Staten Island,New Springville-Bloomfield-Travis                              ,SI05,HspE,5251.0
Staten Island,Westerleigh                                                    ,SI07,HspE,3326.0
Staten Island,Grymes Hill-Clifton-Fox Hills                                  ,SI08,HspE,5856.0
Staten Island,Charleston-Richmond Valley-Tottenville                         ,SI11,HspE,3069.0
Staten Island,Mariner's Harbor-Arlington-Port Ivory-Granite                  ,SI12,HspE,11075.0
Staten Island,Grasmere-Arrochar-Ft. Wadsworth                                ,SI14,HspE,1796.0
Staten Island,West New Brighton-New Brighton-St. George                      ,SI22,HspE,9560.0
Staten Island,Todt Hill-Emerson Hill-Heartland Village-Ligh                  ,SI24,HspE,3307.0
Staten Island,Oakwood-Oakwood Beach                                          ,SI25,HspE,2546.0
Staten Island,Port Richmond                                                  ,SI28,HspE,5909.0
Staten Island,Rossville-Woodrow                                              ,SI32,HspE,1506.0
Staten Island,New Brighton-Silver Lake                                       ,SI35,HspE,4809.0
Staten Island,Old Town-Dongan Hills-South Beach                              ,SI36,HspE,3563.0
Staten Island,Stapleton-Rosebank                                             ,SI37,HspE,8410.0
Staten Island,New Dorp-Midland Beach                                         ,SI45,HspE,3236.0
Staten Island,Arden Heights                                                  ,SI48,HspE,2829.0
Staten Island,Great Kills                                                    ,SI54,HspE,4025.0
Staten Island,park-cemetery-etc-Staten Island                                ,SI99,HspE,
Brooklyn,Brooklyn Heights-Cobble Hill                                   ,BK09,WtNHE,18242.0
Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,WtNHE,44000.0
Brooklyn,Brighton Beach                                                 ,BK19,WtNHE,22463.0
Brooklyn,Seagate-Coney Island                                           ,BK21,WtNHE,8668.0
Brooklyn,West Brighton                                                  ,BK23,WtNHE,14894.0
Brooklyn,Homecrest                                                      ,BK25,WtNHE,34130.0
Brooklyn,Gravesend                                                      ,BK26,WtNHE,15333.0
Brooklyn,Bath Beach                                                     ,BK27,WtNHE,15487.0
Brooklyn,Bensonhurst West                                               ,BK28,WtNHE,41020.0
Brooklyn,Bensonhurst East                                               ,BK29,WtNHE,29363.0
Brooklyn,Dyker Heights                                                  ,BK30,WtNHE,23047.0
Brooklyn,Bay Ridge                                                      ,BK31,WtNHE,55443.0
Brooklyn,Sunset Park West                                               ,BK32,WtNHE,9673.0
Brooklyn,Carroll Gardens-Columbia Street-Red Hook                       ,BK33,WtNHE,23681.0
Brooklyn,Sunset Park East                                               ,BK34,WtNHE,9030.0
Brooklyn,Stuyvesant Heights                                             ,BK35,WtNHE,3082.0
Brooklyn,Park Slope-Gowanus                                             ,BK37,WtNHE,48759.0
Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum H                  ,BK38,WtNHE,16231.0
Brooklyn,Windsor Terrace                                                ,BK40,WtNHE,14580.0
Brooklyn,Kensington-Ocean Parkway                                       ,BK41,WtNHE,18637.0
Brooklyn,Flatbush                                                       ,BK42,WtNHE,23509.0
Brooklyn,Midwood                                                        ,BK43,WtNHE,39121.0
Brooklyn,Madison                                                        ,BK44,WtNHE,28405.0
Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basi                  ,BK45,WtNHE,34585.0
Brooklyn,Ocean Parkway South                                            ,BK46,WtNHE,17032.0
Brooklyn,Canarsie                                                       ,BK50,WtNHE,4626.0
Brooklyn,Flatlands                                                      ,BK58,WtNHE,12245.0
Brooklyn,Prospect Lefferts Gardens-Wingate                              ,BK60,WtNHE,7747.0
Brooklyn,Crown Heights North                                            ,BK61,WtNHE,11928.0
Brooklyn,Crown Heights South                                            ,BK63,WtNHE,10616.0
Brooklyn,Prospect Heights                                               ,BK64,WtNHE,10694.0
Brooklyn,Fort Greene                                                    ,BK68,WtNHE,7720.0
Brooklyn,Clinton Hill                                                   ,BK69,WtNHE,14036.0
Brooklyn,Williamsburg                                                   ,BK72,WtNHE,27650.0
Brooklyn,North Side-South Side                                          ,BK73,WtNHE,25584.0
Brooklyn,Bedford                                                        ,BK75,WtNHE,20867.0
Brooklyn,Greenpoint                                                     ,BK76,WtNHE,24479.0
Brooklyn,Bushwick North                                                 ,BK77,WtNHE,7001.0
Brooklyn,Bushwick South                                                 ,BK78,WtNHE,7720.0
Brooklyn,Ocean Hill                                                     ,BK79,WtNHE,619.0
Brooklyn,Brownsville                                                    ,BK81,WtNHE,576.0
Brooklyn,East New York                                                  ,BK82,WtNHE,1481.0
Brooklyn,Cypress Hills-City Line                                        ,BK83,WtNHE,2557.0
Brooklyn,East New York (Pennsylvania Ave)                               ,BK85,WtNHE,288.0
Brooklyn,Borough Park                                                   ,BK88,WtNHE,80550.0
Brooklyn,East Williamsburg                                              ,BK90,WtNHE,15788.0
Brooklyn,East Flatbush-Farragut                                         ,BK91,WtNHE,825.0
Brooklyn,Starrett City                                                  ,BK93,WtNHE,3404.0
Brooklyn,Erasmus                                                        ,BK95,WtNHE,418.0
Brooklyn,Rugby-Remsen Village                                           ,BK96,WtNHE,724.0
Brooklyn,park-cemetery-etc-Brooklyn                                     ,BK99,WtNHE,
Bronx,Claremont-Bathgate                                             ,BX01,WtNHE,320.0
Bronx,Eastchester-Edenwald-Baychester                                ,BX03,WtNHE,1144.0
Bronx,Bedford Park-Fordham North                                     ,BX05,WtNHE,4312.0
Bronx,Belmont                                                        ,BX06,WtNHE,5475.0
Bronx,Bronxdale                                                      ,BX07,WtNHE,4501.0
Bronx,West Farms-Bronx River                                         ,BX08,WtNHE,758.0
Bronx,Soundview-Castle Hill-Clason Point-Harding Pa                  ,BX09,WtNHE,704.0
Bronx,Pelham Bay-Country Club-City Island                            ,BX10,WtNHE,15769.0
Bronx,Co-Op City                                                     ,BX13,WtNHE,3831.0
Bronx,East Concourse-Concourse Village                               ,BX14,WtNHE,1094.0
Bronx,East Tremont                                                   ,BX17,WtNHE,740.0
Bronx,North Riverdale-Fieldston-Riverdale                            ,BX22,WtNHE,17687.0
Bronx,Highbridge                                                     ,BX26,WtNHE,300.0
Bronx,Hunts Point                                                    ,BX27,WtNHE,471.0
Bronx,Van Cortlandt Village                                          ,BX28,WtNHE,5504.0
Bronx,Spuyten Duyvil-Kingsbridge                                     ,BX29,WtNHE,14452.0
Bronx,Kingsbridge Heights                                            ,BX30,WtNHE,772.0
Bronx,Allerton-Pelham Gardens                                        ,BX31,WtNHE,9150.0
Bronx,Longwood                                                       ,BX33,WtNHE,335.0
Bronx,Melrose South-Mott Haven North                                 ,BX34,WtNHE,1089.0
Bronx,Morrisania-Melrose                                             ,BX35,WtNHE,378.0
Bronx,University Heights-Morris Heights                              ,BX36,WtNHE,783.0
Bronx,Van Nest-Morris Park-Westchester Square                        ,BX37,WtNHE,7192.0
Bronx,Mott Haven-Port Morris                                         ,BX39,WtNHE,865.0
Bronx,Fordham South                                                  ,BX40,WtNHE,449.0
Bronx,Mount Hope                                                     ,BX41,WtNHE,731.0
Bronx,Norwood                                                        ,BX43,WtNHE,4230.0
